Number,OPID,CPY ID,Company,Opportunity,Creation Date,Project,Owner,Lead,Active / Paused / Closed,Progress,Reason,Closing,Value,Revenue Type,TCV,Notes,Pain,Economic Buyer,Champion,Decision Criteria,Decision Process,Drive,Closing Probability,Average of Time invested,Last Task,Active Follow Up Task?,CF * Probability,Scenarios,Month,Data Origin,Data Cluster,Time Spend on OPID,Value / h,Earlist OPID Closing Date,Exclude before 2020,Exclude before 20202,Quarter,Cashflow Plan per Quarter,Cashflow Plan per Quarter by Owner,Number of Opportunities per Quarter per Owner,Cashflow Plan by Owner,OPID Stage,Reporting Cluster,Revenue Type Name,TCV (Actual),TCV (Forecast) Type,Data Origin2,Remove (-1),Creation Date_Year-Week,RevenueCurrency,RevenueCurrencySymbol,ClosingDateWorking,CreationDateWorking
39,OPID39,CPY82519,Atum 3D,Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,4) Project Definition,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,4,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
40,OPID40,CPY8251057,AUDI AG,Workflow | Demonstrator,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
41,OPID41,CPY8254960,Awesome Industries,Workflow | Insole,,Footwear,Markus Finke,,Closed,5) Pilot,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,5,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
42,OPID42,CPY8251136,"Azul 3D, Inc.",Hyperganic Print | Resin,,Hyperganic Print,Markus Finke,,Paused,2) First Contact,B) no budget / resources,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,2,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
43,OPID43,CPY8253583,B9 Creations,Hyperganic Print | Resin,,Hyperganic Print,Sherman Lim,,Closed,3) Project Evaluation,J) have own solution,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,18,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
44,OPID44,CPY82510,BeAM Machines Inc.,Hyperganic Print | Multimaterial Printing,,Hyperganic Print,Markus Finke,,Paused,3) Project Evaluation,F) competition,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
45,OPID45,CPY8252330,BellaSeno,Workflow | Breast Implants,,Discovery,Markus Finke,,Paused,3) Project Evaluation,L) waiting for business case,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
46,OPID46,CPY8251109,Belle International Holdings Ltd,Workflow | Footwear,,Footwear,Markus Finke,,Paused,1) Prospect,G) no response / interest,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,1,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
47,OPID47,CPY82523,BigRep GmbH,Hyperganic Print | FDM,,Hyperganic Print,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
48,OPID48,CPY8251119,Biomimicry 3.8,Workflow | Heat X,,Discovery,Markus Finke,,Closed,3) Project Evaluation,C) no progress,,,,,,,,,,,,0%,#REF!,#REF!,, -   € ,0%,1,Forecast,Revenue,#REF!,  ,"Saturday, 0 January 1900",< 2020,,1900-Q1,,,217,0,3,#N/A,#N/A,0,,Forecast,Unhide,1900-52,,,,
